Date,Product,Category,Sales,Quantity,Region
2026-01-01,Tablet,Electronics,1400,4,North
2026-01-02,Tablet,Electronics,1050,3,West
2026-01-03,Monitor,Electronics,1100,5,East
2026-01-04,Smartphone,Electronics,1500,3,East
2026-01-05,Mouse,Accessories,120,3,West
2026-01-06,Monitor,Electronics,880,4,West
2026-01-07,Mouse,Accessories,200,5,South
2026-01-08,Keyboard,Accessories,150,2,West
2026-01-09,Keyboard,Accessories,375,5,North
2026-01-10,Keyboard,Accessories,150,2,South
2026-01-11,Monitor,Electronics,880,4,North
2026-01-12,Laptop,Electronics,2250,3,East
2026-01-13,Tablet,Electronics,700,2,West
2026-01-14,Keyboard,Accessories,300,4,West
2026-01-15,Tablet,Electronics,1050,3,West
2026-01-16,Tablet,Electronics,1400,4,West
2026-01-17,Laptop,Electronics,2250,3,North
2026-01-18,Mouse,Accessories,200,5,North
2026-01-19,Tablet,Electronics,700,2,West
2026-01-20,Laptop,Electronics,3000,4,South
2026-01-21,Smartphone,Electronics,1000,2,North
2026-01-22,Smartphone,Electronics,2500,5,South
2026-01-23,Keyboard,Accessories,300,4,East
2026-01-24,Keyboard,Accessories,300,4,North
2026-01-25,Tablet,Electronics,1050,3,South
2026-01-26,Laptop,Electronics,3000,4,South
2026-01-27,Keyboard,Accessories,150,2,South
2026-01-28,Headphones,Electronics,200,2,West
2026-01-29,Headphones,Electronics,500,5,East
2026-01-30,Smartphone,Electronics,1000,2,West
2026-01-31,Smartphone,Electronics,1000,2,South
2026-02-01,Keyboard,Accessories,300,4,North
2026-02-02,Headphones,Electronics,500,5,West
2026-02-03,Monitor,Electronics,440,2,East
2026-02-04,Monitor,Electronics,440,2,North
2026-02-05,Keyboard,Accessories,300,4,West
2026-02-06,Monitor,Electronics,220,1,North
2026-02-07,Tablet,Electronics,1750,5,North
2026-02-08,Laptop,Electronics,750,1,West
2026-02-09,Laptop,Electronics,3000,4,West
2026-02-10,Tablet,Electronics,1050,3,East
2026-02-11,Laptop,Electronics,2250,3,East
2026-02-12,Laptop,Electronics,2250,3,North
2026-02-13,Smartphone,Electronics,1000,2,North
2026-02-14,Keyboard,Accessories,75,1,West
2026-02-15,Keyboard,Accessories,150,2,North
2026-02-16,Tablet,Electronics,1750,5,East
2026-02-17,Keyboard,Accessories,225,3,East
2026-02-18,Laptop,Electronics,2250,3,North
2026-02-19,Tablet,Electronics,1050,3,North
2026-02-20,Monitor,Electronics,440,2,East
2026-02-21,Tablet,Electronics,1050,3,North
2026-02-22,Tablet,Electronics,700,2,South
2026-02-23,Keyboard,Accessories,375,5,East
2026-02-24,Tablet,Electronics,350,1,West
2026-02-25,Monitor,Electronics,880,4,South
2026-02-26,Monitor,Electronics,1100,5,East
2026-02-27,Mouse,Accessories,200,5,West
2026-02-28,Monitor,Electronics,660,3,East
2026-03-01,Headphones,Electronics,400,4,South
2026-03-02,Smartphone,Electronics,2500,5,South
2026-03-03,Laptop,Electronics,3750,5,South
2026-03-04,Keyboard,Accessories,300,4,West
2026-03-05,Keyboard,Accessories,300,4,South
2026-03-06,Headphones,Electronics,300,3,West
2026-03-07,Smartphone,Electronics,2000,4,North
2026-03-08,Tablet,Electronics,350,1,North
2026-03-09,Laptop,Electronics,2250,3,South
2026-03-10,Laptop,Electronics,3000,4,North
2026-03-11,Laptop,Electronics,2250,3,East
2026-03-12,Headphones,Electronics,300,3,North
2026-03-13,Headphones,Electronics,500,5,North
2026-03-14,Mouse,Accessories,80,2,West
2026-03-15,Tablet,Electronics,1050,3,South
2026-03-16,Laptop,Electronics,3000,4,North
2026-03-17,Headphones,Electronics,100,1,South
2026-03-18,Keyboard,Accessories,300,4,South
2026-03-19,Tablet,Electronics,700,2,East
2026-03-20,Laptop,Electronics,3750,5,North
2026-03-21,Laptop,Electronics,2250,3,North
2026-03-22,Smartphone,Electronics,1000,2,West
2026-03-23,Headphones,Electronics,500,5,West
2026-03-24,Laptop,Electronics,750,1,East
2026-03-25,Headphones,Electronics,200,2,North
2026-03-26,Keyboard,Accessories,150,2,West
2026-03-27,Headphones,Electronics,400,4,East
2026-03-28,Mouse,Accessories,120,3,North
2026-03-29,Tablet,Electronics,1750,5,West
2026-03-30,Smartphone,Electronics,1500,3,East
2026-03-31,Laptop,Electronics,750,1,West
2026-04-01,Mouse,Accessories,200,5,East
2026-04-02,Keyboard,Accessories,300,4,East
2026-04-03,Keyboard,Accessories,225,3,South
2026-04-04,Mouse,Accessories,120,3,West
2026-04-05,Tablet,Electronics,1400,4,North
2026-04-06,Laptop,Electronics,1500,2,West
2026-04-07,Laptop,Electronics,2250,3,West
2026-04-08,Laptop,Electronics,750,1,South
2026-04-09,Tablet,Electronics,700,2,East
2026-04-10,Tablet,Electronics,1400,4,West
